timestamp,ASL_HAND_COMPLETE_rx,ASL_HAND_COMPLETE_ry,ASL_HAND_COMPLETE_rz,f_index.01.R_rx,f_index.01.R_ry,f_index.01.R_rz,f_index.02.R_rx,f_index.02.R_ry,f_index.02.R_rz,f_index.03.R_rx,f_index.03.R_ry,f_index.03.R_rz,f_index.03.R_end_rx,f_index.03.R_end_ry,f_index.03.R_end_rz,f_middle.01.R_rx,f_middle.01.R_ry,f_middle.01.R_rz,f_middle.02.R_rx,f_middle.02.R_ry,f_middle.02.R_rz,f_middle.03.R_rx,f_middle.03.R_ry,f_middle.03.R_rz,f_middle.03.R_end_rx,f_middle.03.R_end_ry,f_middle.03.R_end_rz,f_pinky.01.R_rx,f_pinky.01.R_ry,f_pinky.01.R_rz,f_pinky.02.R_rx,f_pinky.02.R_ry,f_pinky.02.R_rz,f_pinky.03.R_rx,f_pinky.03.R_ry,f_pinky.03.R_rz,f_pinky.03.R_end_rx,f_pinky.03.R_end_ry,f_pinky.03.R_end_rz,f_ring.01.R_rx,f_ring.01.R_ry,f_ring.01.R_rz,f_ring.02.R_rx,f_ring.02.R_ry,f_ring.02.R_rz,f_ring.03.R_rx,f_ring.03.R_ry,f_ring.03.R_rz,f_ring.03.R_end_rx,f_ring.03.R_end_ry,f_ring.03.R_end_rz,forearm.R_rx,forearm.R_ry,forearm.R_rz,hand.R_rx,hand.R_ry,hand.R_rz,metarig.001_rx,metarig.001_ry,metarig.001_rz,palm.01.R_rx,palm.01.R_ry,palm.01.R_rz,palm.02.R_rx,palm.02.R_ry,palm.02.R_rz,palm.03.R_rx,palm.03.R_ry,palm.03.R_rz,palm.04.R_rx,palm.04.R_ry,palm.04.R_rz,thumb.01.R_rx,thumb.01.R_ry,thumb.01.R_rz,thumb.02.R_rx,thumb.02.R_ry,thumb.02.R_rz,thumb.03.R_rx,thumb.03.R_ry,thumb.03.R_rz,thumb.03.R_end_rx,thumb.03.R_end_ry,thumb.03.R_end_rz
0.0000,0.0000,0.0000,0.0000,359.3225,8.4878,358.8259,359.1342,359.5497,354.6057,13.1257,1.6811,1.2679,0.0000,0.0000,0.0000,356.0523,2.0487,353.4513,7.3605,356.6045,357.2022,9.8088,356.6858,355.4742,0.0000,0.0000,0.0000,355.2253,340.0069,350.3465,11.4384,359.9709,354.9158,1.1804,355.6680,359.8809,0.0000,0.0000,0.0000,2.8136,353.1803,352.0406,4.0951,358.8636,359.6969,8.5254,352.6669,356.6503,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,359.3225,8.4878,358.8259,359.1342,359.5497,354.6057,13.1257,1.6811,1.2679,0.0000,0.0000,0.0000,356.0523,2.0487,353.4513,7.3605,356.6045,357.2022,9.8088,356.6858,355.4742,0.0000,0.0000,0.0000,355.2253,340.0069,350.3465,11.4384,359.9709,354.9158,1.1804,355.6680,359.8809,0.0000,0.0000,0.0000,2.8136,353.1803,352.0406,4.0951,358.8636,359.6969,8.5254,352.6669,356.6503,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.0167,359.3825,0.4516,1.2359,359.5182,8.4838,358.8260,359.3291,359.5313,354.6060,13.3215,1.6855,1.2689,0.0000,0.0000,0.0000,356.1184,2.0411,353.4518,7.4270,356.6012,357.2018,9.8751,356.6805,355.4733,0.0000,0.0000,0.0000,355.4960,339.9608,350.3502,11.7119,359.9460,354.9108,1.4550,355.6674,359.8808,0.0000,0.0000,0.0000,2.9406,353.1625,352.0397,4.2233,358.8629,359.6969,8.6534,352.6593,356.6491,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.0333,355.8360,354.6411,1.4527,359.6994,8.4801,358.8260,359.5095,359.5142,354.6062,13.5026,1.6897,1.2699,0.0000,0.0000,0.0000,356.2211,2.0293,353.4526,7.5314,356.5960,357.2011,9.9781,356.6722,355.4719,0.0000,0.0000,0.0000,355.4377,339.9707,350.3495,11.6530,359.9514,354.9119,1.3959,355.6675,359.8808,0.0000,0.0000,0.0000,3.0167,353.1518,352.0392,4.3001,358.8625,359.6968,8.7301,352.6548,356.6485,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.0500,355.4393,355.1414,1.7880,359.4038,8.4861,358.8259,359.2151,359.5420,354.6058,13.2071,1.6829,1.2683,0.0000,0.0000,0.0000,356.2306,2.0282,353.4527,7.5398,356.5956,357.2011,9.9877,356.6714,355.4717,0.0000,0.0000,0.0000,355.5858,339.9454,350.3514,11.8027,359.9378,354.9091,1.5461,355.6672,359.8808,0.0000,0.0000,0.0000,3.3836,353.1004,352.0363,4.6706,358.8605,359.6967,9.1000,352.6328,356.6451,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.0667,355.3081,355.1530,1.7650,359.4094,8.4860,358.8259,359.2207,359.5415,354.6059,13.2126,1.6831,1.2683,0.0000,0.0000,0.0000,356.3532,2.0141,353.4536,7.6630,356.5895,357.2003,10.1107,356.6615,355.4700,0.0000,0.0000,0.0000,355.6664,339.9317,350.3525,11.8841,359.9304,354.9076,1.6278,355.6671,359.8808,0.0000,0.0000,0.0000,3.2182,353.1236,352.0377,4.5036,358.8614,359.6967,8.9333,352.6427,356.6466,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.0833,355.2525,355.1361,1.7317,359.5015,8.4841,358.8260,359.3124,359.5328,354.6060,13.3047,1.6852,1.2688,0.0000,0.0000,0.0000,356.3470,2.0148,353.4535,7.6568,356.5898,357.2003,10.1045,356.6620,355.4701,0.0000,0.0000,0.0000,355.6494,339.9346,350.3523,11.8669,359.9319,354.9079,1.6106,355.6671,359.8808,0.0000,0.0000,0.0000,3.1697,353.1304,352.0380,4.4546,358.8617,359.6968,8.8843,352.6456,356.6471,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.1000,355.2190,355.1217,1.7029,359.5685,8.4828,358.8260,359.3791,359.5265,354.6060,13.3717,1.6867,1.2692,0.0000,0.0000,0.0000,356.3272,2.0171,353.4534,7.6369,356.5908,357.2005,10.0846,356.6636,355.4704,0.0000,0.0000,0.0000,355.5869,339.9453,350.3514,11.8038,359.9377,354.9091,1.5472,355.6672,359.8808,0.0000,0.0000,0.0000,3.2201,353.1233,352.0376,4.5055,358.8614,359.6967,8.9352,352.6426,356.6466,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.1167,355.1818,355.1232,1.6730,359.5446,8.4833,358.8260,359.3554,359.5288,354.6060,13.3479,1.6861,1.2690,0.0000,0.0000,0.0000,356.2939,2.0209,353.4532,7.6034,356.5925,357.2007,10.0455,356.6667,355.4709,0.0000,0.0000,0.0000,355.5651,339.9490,350.3512,11.7817,359.9397,354.9095,1.5251,355.6673,359.8808,0.0000,0.0000,0.0000,3.2326,353.1216,352.0375,4.5181,358.8613,359.6967,8.9478,352.6419,356.6465,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.1333,355.1656,355.1411,1.6792,359.5098,8.4840,358.8260,359.3207,359.5320,354.6060,13.3131,1.6853,1.2689,0.0000,0.0000,0.0000,356.2702,2.0236,353.4530,7.5796,356.5937,357.2008,10.0225,356.6686,355.4712,0.0000,0.0000,0.0000,355.5626,339.9494,350.3511,11.7792,359.9399,354.9095,1.5225,355.6673,359.8808,0.0000,0.0000,0.0000,3.2768,353.1154,352.0372,4.5627,358.8611,359.6967,8.9923,352.6392,356.6461,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
